chain,token,target_wallet,direction,block_number,tx_hash,log_index,from,to,amount_raw,amount_cell,balance_before_cell,balance_after_cell
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,out,27274950,0xa819256ab616fb125c23e28d3f752510749f65bd49871940e74cbe3e177813bc,147,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,0xa2c1e0237bf4b58bc9808a579715df57522f41b2,138135622667136979999445,138135.622667136979999445,138135.62266713698,5.55E-16
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,in,27275023,0x40141f98dd89a8016684d4e2bbfdb576967e41abf7faf001cae9cf688fe8b501,205,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,207203434000705500000000,207203.4340007055,5.55E-16,207203.434000705500000555
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,out,27275060,0xe66aa547a3feccf5614ba6bb5bb5e0b98804650df322860919f4ee6236eb3cea,183,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,0xa2c1e0237bf4b58bc9808a579715df57522f41b2,207203434000705499999576,207203.434000705499999576,207203.434000705500000555,9.79E-16
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,in,27275136,0x99e44119b1435bf01491e9139dae3d63c7c770bfaee4da1c6e34c6790784eaca,169,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,207203434000705490000000,207203.43400070549,9.79E-16,207203.434000705490000979
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,out,27275168,0x4559c05c1fd165771a32e74db186af5c18173ea288bc4ebdb1321f4e9e356ec0,93,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,0xa2c1e0237bf4b58bc9808a579715df57522f41b2,207203434000705490000402,207203.434000705490000402,207203.434000705490000979,5.77E-16
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,in,29701834,0xaea06c7433e5a05cac7226cf15b02210bec6f2b87a70f9839ed5aeb7bcf78a54,376,0x46a15b0b27311cedf172ab29e4f4766fbe7f4364,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,1099062194521440431749,1099.062194521440431749,5.77E-16,1099.062194521440432326
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,out,35005943,0xa578350fadb914baf20328e822d6ec7c55ffbd4582076f7ae2fe7bf688dc5906,147,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,0xfcfc9568b1eefc0e48d56a8b99c30a9d7ed44be5,143000000000000000000,143,1099.062194521440432326,956.062194521440432326
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,out,35865330,0x5add215b6bc5d2c3de5ad1b5bce1afad1dd13b20ce0f8aef7c9e73e86da7888c,189,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,0x231bfb95c2feaf36d41826da6299f13638d2513c,956062000000000000000,956.062,956.062194521440432326,0.000194521440432326
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,in,37066477,0x9cdf289c4708dbd6cf761a80d6611a46fb8a2b8f4b4b7c86c7657a5c8303b5ee,199,0x46a15b0b27311cedf172ab29e4f4766fbe7f4364,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,4971169664882453828441,4971.169664882453828441,0.000194521440432326,4971.169859403894260767
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,out,37333021,0xd11a9f99519b58919fbc1970f952430c8038c07c83b9dab4d60753483888b507,403,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,0x530548c86746cc2b33d44dc695b15d555847573e,1000000000000000000000,1000,4971.169859403894260767,3971.169859403894260767
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,out,37360389,0xc93697899c54985e095691e129e8dfd8c1587368de59cd3eeac9fdabb13c7efd,499,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,0x231bfb95c2feaf36d41826da6299f13638d2513c,50000000000000000000,50,3971.169859403894260767,3921.169859403894260767
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,out,37366739,0xa0cf62585fddab0466933ec384aa8fdd24b459f3b80f6d908a31122a6270e1c9,1063,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,0x231bfb95c2feaf36d41826da6299f13638d2513c,10000000000000000000,10,3921.169859403894260767,3911.169859403894260767
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,in,38883839,0xc8c7ceec7394fc565ee93c35d4822c33597b836fbacb38460b8b671daed4b100,349,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,190000000000000000000000,190000,3911.169859403894260767,193911.169859403894260767
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,out,38886247,0xffdbc0dfbae0d56f4710fb17bbad88b9fbc358cd83b8ef972e0542cb51511ec7,263,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,0xda8a4204de68f959ca2302c4febc4ee5b6cc32f5,53911000000000000000000,53911,193911.169859403894260767,140000.169859403894260767
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,out,39176080,0x296bdc11d9c5ba959d2b8508ebca3449cf86e8557246d498002b451c1bbc5656,209,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,0x231bfb95c2feaf36d41826da6299f13638d2513c,40000000000000000000000,40000,140000.169859403894260767,100000.169859403894260767
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,out,39176234,0xe6e36c50f55d792ee4ced47981b9ebe2cb7f8fb825903cc2cf0fc03fb24c21e6,83,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,0xda8a4204de68f959ca2302c4febc4ee5b6cc32f5,50000000000000000000000,50000,100000.169859403894260767,50000.169859403894260767
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,out,39546038,0x810ca79a13657bc3d486dafe09af1a056d1e51376fb21d5737efb5b509180f7b,127,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,0x7d1a7fd9eb07e6d9f68bb94f8024d3b613d658fc,50000169859403894260767,50000.169859403894260767,50000.169859403894260767,0
