chain,token,target_wallet,direction,block_number,tx_hash,log_index,from,to,amount_raw,amount_cell,balance_before_cell,balance_after_cell
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,out,66436948,0xee4efa2fb8c32613f537f811a01a599b3204476d5a2b66769b3ef10f14739961,225,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0xfb939b5ea1bc2b9531adcc15e7ca604d8ae93458,6027860000000000000000,6027.86,4115239.703800608618693582,4109211.843800608618693582
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,out,66437935,0xd8aa3008273cadac43aadad06d18fa32ac00b8fda508a0c8aca7a6dc19fe373c,163,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0xecdbefd25ff60725cb0ee3419706b0d42137fa41,3000000000000000000000,3000,4109211.843800608618693582,4106211.843800608618693582
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,out,66437939,0xe55a5080989789c1c62e07018590b16718dba13758edda91c4d69f5770d4a040,173,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0xda012034fae8a8cb8d81c1d34e2d42419c3fcd3c,1974770000000000000000,1974.77,4109211.843800608618693582,4106211.843800608618693582
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,out,66437935,0xd8aa3008273cadac43aadad06d18fa32ac00b8fda508a0c8aca7a6dc19fe373c,163,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0xecdbefd25ff60725cb0ee3419706b0d42137fa41,3000000000000000000000,3000,4106211.843800608618693582,4104237.073800608618693582
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,out,66437939,0xe55a5080989789c1c62e07018590b16718dba13758edda91c4d69f5770d4a040,173,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0xda012034fae8a8cb8d81c1d34e2d42419c3fcd3c,1974770000000000000000,1974.77,4106211.843800608618693582,4104237.073800608618693582
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,out,66442250,0x0634082da797ea0c12d530d631c0494502169ccd1bf8050234512f16a1415c3b,307,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0xda012034fae8a8cb8d81c1d34e2d42419c3fcd3c,2025200000000000000000,2025.2,4104237.073800608618693582,4102211.873800608618693582
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,out,66442320,0xb27f038e9fd28aa0452fb1e9871fa7ec7427ca173c705efec06a2b9a2bcff3e9,234,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0x055a3b37957bfbd3345bed9968e7e8dd56d67066,5326240000000000000000,5326.24,4102211.873800608618693582,4096885.633800608618693582
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,out,66442332,0x6ff38ffcfcffda0acb2a2eb44beafb77018a81316f2640b7dc5a47957ddb0f45,381,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0xecdbefd25ff60725cb0ee3419706b0d42137fa41,1999000000000000000000,1999,4102211.873800608618693582,4096885.633800608618693582
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,out,66442320,0xb27f038e9fd28aa0452fb1e9871fa7ec7427ca173c705efec06a2b9a2bcff3e9,234,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0x055a3b37957bfbd3345bed9968e7e8dd56d67066,5326240000000000000000,5326.24,4096885.633800608618693582,4094886.633800608618693582
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,out,66442332,0x6ff38ffcfcffda0acb2a2eb44beafb77018a81316f2640b7dc5a47957ddb0f45,381,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0xecdbefd25ff60725cb0ee3419706b0d42137fa41,1999000000000000000000,1999,4096885.633800608618693582,4094886.633800608618693582
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,in,66442354,0x2f3aa2138260f25e154845ed05b905158af2b4d425155c2fe3c5b50aeb479482,178,0x2add4ea65c917a166d8b379c80d354205c44240d,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,3790485285057500298208,3790.485285057500298208,4094886.633800608618693582,4098677.11908566611899179
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,out,66442396,0xf129917659b1a3bcded2817db7fe2ad0e6e6f459bf8343e5928a729f67c872ff,140,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0x673e5b12c19891276353343f9a342bf5c1cc45db,2262650000000000000000,2262.65,4098677.11908566611899179,4096414.46908566611899179
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,out,66442398,0x58e7b9456eb5896d6cbd51de5cce84e0526ac57df6416b288d64f02ee5f42ec4,226,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0xda012034fae8a8cb8d81c1d34e2d42419c3fcd3c,2025200000000000000000,2025.2,4098677.11908566611899179,4096414.46908566611899179
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,out,66442412,0x3fa3f0aaa4af3f37e88dff387ab132f23ebca77b6f26772c6d6aae4d71ce5914,145,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0x055a3b37957bfbd3345bed9968e7e8dd56d67066,10866480000000000000000,10866.48,4098677.11908566611899179,4096414.46908566611899179
