recipient,first_block,amount_cell,txs,share_of_total_out_percent
0x055a3b37957bfbd3345bed9968e7e8dd56d67066,66442320,401013.65,96,19.06661017839471561109934032
0xd32a7f215596d9d31a9b8a87bbeafe365d5a24e1,66442464,296157.1204,36,14.08109765396442058757876922
0xecdbefd25ff60725cb0ee3419706b0d42137fa41,66437935,241965.5599999999998,69,11.50450367242356278911471483
0xda012034fae8a8cb8d81c1d34e2d42419c3fcd3c,66437939,147449.10,84,7.010620488492449724872327267
0x96eb88a0a41cb1a24cb3a4ad62932d78d889d3a6,66585340,67850.54,3,3.226024342497014222232884677
0x7a83ea9a8b080f6a7153839f275b061283751578,66588371,65590.64,6,3.118575051575983933589285141
0xe10fa3e4df18264a6d55fa80021fd231b03125c3,66543499,60785.1,3,2.890090664880710738630055389
0xca73df509e0087477e65dabedf713c63a3a19044,66543411,59002.35,8,2.805327965916390747887377805
0xca4eb9d7524a3b140b3b534c3d703aee67abfaac,66902651,43598,2,2.072912157872064482624741176
0x7f54b1fbf800584195f4d4be1c14dcc4e9f3e950,66448382,37029.39,7,1.760600778237218354792875009
0x661db677bce52912a884fd9e11704f16437a5226,66771792,34881.73565999,2,1.658488323713766967746505896
0xfb34b8d3056f0db8b23e27c48f114772a7483e6b,66773865,34332.91,19,1.632393838114761718339185343
0xcacad24eaad0c5a279a2f1a0ecf66ca196d82c03,66589504,31705.5,2,1.507470902826109923708856630
0x0519c1e48d1383480ed02c8f8752411d2bb3ebf0,66701565,31522.18,1,1.498754763168760805378778013
0x16d9b2ea6f33d99f25d2595902db5a0aebb047cd,66783716,30286.10,4,1.439984056711985231598265373
0x6457ba57c53deeb532f8608f6faf91cbd1418ba6,66664557,28741.54,3,1.366546348501450897058083020
0x20a18c8fcab806ec43528c6318500085337b2348,66598854,25998.53,1,1.236127091238166994207390527
0x673e5b12c19891276353343f9a342bf5c1cc45db,66442396,24940.49,13,1.185821481358930352499140581
0x19113a761706a5914bb272690dc5d691554c12b5,66448943,24010.14986489,13,1.141587494088278989572865661
0x8e9ef8aef904d536faedcfbf3538e318906791e3,66901068,21668.94,1,1.030272241254192691181397290
0xcaafa09e51912ea85dedfd3f16fb2fc47bb8d296,66573803,20565.32,1,0.9777994829700794794672288226
0xc4974eba15a04e36dc1515835330b0a35bc8c66a,66543350,20565.0,6,0.9777842682379697712091793727
0xcc4337cbbd35fac6d9503dfb0b82a6cfa72d92a6,66698680,18226.03,1,0.8665755121047062576781735726
0x1bc09946b7c42a61617f64c2e1e0dc7ed9cf6167,66599566,15953.60058771,1,0.7585304972727871056698263203
0x20ffbf77feb6ee669eb9d9581975f47c54b4a17b,66587443,15394,3,0.7319237065526528887913497332
0xe596960ae360fbd08fbf8aa0a63f374827d497a1,66543502,13578.51,3,0.6456043503093583718969878047
0xa425bd73b4afd78cd0ed409038981a5f4982f59f,66647267,13196.66,1,0.6274488957590705645964176543
0xd0be1fded5d964619b92b3672c08c43305529be0,66543379,13183.24,8,0.6268108279312196745244688487
0x0c5d771e9a9074f419173f3d05cd405e90799f90,66587437,11082.03,3,0.5269066177554693967242043318
0x0aaa08d445b2a74d9d118d57ec2dafd6df0d0cc4,66837149,10998,2,0.5229113241955356938370315945
0xe52785a924e85708d568f1a6ab9e2a7c7fa864e6,66726121,10009,1,0.4758882927689686088029504664
0x59f1aabf6514ae9ee48789db44bf8896eb2c0d4a,67135532,10000,1,0.4754603784283830640453096877
0xa14a61e02cc609736eae040311b76310d2c17ada,66874662,9993.60,2,0.4751560837861888988843206895
0x57d5665e24b30c512256e69b84828560bd0ca3a5,67134085,9618.96,2,0.4573434361687479557729272073
0xa645fe7205270c2c59887382f60d143209b355b4,66588379,9394,3,0.4466474794956230503641639206
0x647de71c58cc000b7f4b4fa2e8f6ab1088f4092d,66837386,8798,2,0.4183100409412914197470634632
0x415a1f609e6eb983bccb9aaaf9916b79f6946750,66580432,7929.68,2,0.3770248653615980615298811324
