chain,token,target_wallet,direction,block_number,tx_hash,log_index,from,to,amount_raw,amount_cell,balance_before_cell,balance_after_cell
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x65def3ea531fd80354ec11c611ae4faa06068f27,out,21943418,0x51a94ce1f6c5fb79471607d9770bda9ff03adbd64d26d8e68494f2ff3bccb829,196,0x65def3ea531fd80354ec11c611ae4faa06068f27,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,30000000000000000000000000,30000000,33300000,3300000
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x65def3ea531fd80354ec11c611ae4faa06068f27,out,21943636,0x51a8cc2db6c9d01fa3e11ed5c6807b7af018bb03ad37136e9ade86cdcf530b2c,208,0x65def3ea531fd80354ec11c611ae4faa06068f27,0x1c15f4e3fd885a34660829ae692918b4b9c1803d,250000000000000000000,250,3300000,3299750
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x65def3ea531fd80354ec11c611ae4faa06068f27,out,21947383,0x188efec70dc0867f7f83de20c280922c368e438dc184892331edd710bc208d98,674,0x65def3ea531fd80354ec11c611ae4faa06068f27,0xcc6328b2372f8ebbae15222de82fbc8b1ed378c1,150000000000000000000,150,3299750,3299600
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x65def3ea531fd80354ec11c611ae4faa06068f27,out,22703227,0x57afa19b2a50cf5d57f1c0b06a5a632cee9e3f757f32260e2c00448c18920e48,434,0x65def3ea531fd80354ec11c611ae4faa06068f27,0xe46c285d2e6cdedfb4567f46c98bd2179fc2885e,100000000000000000000,100,3299600,3299500
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x65def3ea531fd80354ec11c611ae4faa06068f27,out,22763201,0x019990ac72102947071973dece5c64f80db34be58bdd79f508e1fc7e38e248ca,153,0x65def3ea531fd80354ec11c611ae4faa06068f27,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,100000000000000000000,100,3299500,3299400
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x65def3ea531fd80354ec11c611ae4faa06068f27,out,22847377,0x1eec9a97d9f19e2f1c5cc6c4c96e316eec27f368b248c7602b5ff5a6cf554563,258,0x65def3ea531fd80354ec11c611ae4faa06068f27,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,2000000000000000000000000,2000000,3299400,1299400
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x65def3ea531fd80354ec11c611ae4faa06068f27,out,23048332,0x79d9c60c12c4f6b19bbf0285baea07c243a1bf0df6984cf383c8da44ea240a71,417,0x65def3ea531fd80354ec11c611ae4faa06068f27,0xb4e47c13db187d54839cd1e08422af57e5348fc1,1000000000000000000000000,1000000,1299400,299400
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x65def3ea531fd80354ec11c611ae4faa06068f27,in,23048620,0x4d3430a0c1eb11ccf4b22e57271ee008240ca78d606b2786633b2450e396e6c2,291,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,0x65def3ea531fd80354ec11c611ae4faa06068f27,3000000000000000000000000,3000000,299400,3299400
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x65def3ea531fd80354ec11c611ae4faa06068f27,out,23152288,0x4cf73d9eccb4b5df6f123b8d6a624fd1980d6a2019c4b08d0a9e3bd4e18b4ebc,304,0x65def3ea531fd80354ec11c611ae4faa06068f27,0xda8a4204de68f959ca2302c4febc4ee5b6cc32f5,940000000000000000000000,940000,3299400,2359400
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x65def3ea531fd80354ec11c611ae4faa06068f27,out,23298163,0x6e498ed630cba9f7de17b6f4499a4b7b445b0c2fb5b5321d8e6215b6dd957a87,212,0x65def3ea531fd80354ec11c611ae4faa06068f27,0xdc498209deecb868ace2d47e137afa52d6e1256e,100000000000000000000,100,2359400,2359300
