recipient,first_block,amount_cell,txs,share_of_total_out_percent
0xc3b8a652e59d59a71b00808c1fb2432857080ab8,21943418,30000000,1,76.32312710794353723998256929
0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,22763201,4000100,3,10.17667135814949811045514251
0xda8a4204de68f959ca2302c4febc4ee5b6cc32f5,23152288,2634666.877640344737632,4,6.702867166307758465186265556
0xb4e47c13db187d54839cd1e08422af57e5348fc1,23048332,1000000,1,2.544104236931451241332752310
0xefb9402a2c98524818e5bc72240c0988401c5974,23671447,1000000,1,2.544104236931451241332752310
0x0d0707963952f2fba59dd06f2b425ace40b492fe,23325381,656567.554663375262368,1,1.670376297650815222858050787
0x63aba321ada36f7b749804d29cc8e6cdebdbeafc,23325575,9682.85539256,2,0.02463419342980644655920554666
0xa939ed0c4d7b364ea726a1726c318f77fc90fef3,23325555,3448.28,2,0.008772783758125984686462903135
0xe6243da580b09521f13b9732b23f474d1ad6bd09,24125642,1500,1,0.003816156355397176861999128465
0x1c15f4e3fd885a34660829ae692918b4b9c1803d,21943636,250,1,0.0006360260592328628103331880774
0xcc6328b2372f8ebbae15222de82fbc8b1ed378c1,21947383,150,1,0.0003816156355397176861999128465
0xe46c285d2e6cdedfb4567f46c98bd2179fc2885e,22703227,100,1,0.0002544104236931451241332752310
0xdc498209deecb868ace2d47e137afa52d6e1256e,23298163,100,1,0.0002544104236931451241332752310
