chain,token,target_wallet,direction,block_number,tx_hash,log_index,from,to,amount_raw,amount_cell,balance_before_cell,balance_after_cell
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x843bb6a56619a6a175c9cb6b73a6a2eefd4d9946,out,66419142,0x8aee6f6982a5452819896171a7d6fc4d9fcf3de5eeda2282bf53215567ad097c,107,0x843bb6a56619a6a175c9cb6b73a6a2eefd4d9946,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,250000000000000000000000,250000,250000,0
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x843bb6a56619a6a175c9cb6b73a6a2eefd4d9946,out,67001148,0x2ba99c9eda4ebb58745c57977511db01464bf49071d3cae4be54db251d3e9b26,100,0x843bb6a56619a6a175c9cb6b73a6a2eefd4d9946,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,120000000000000000000000,120000,120000,0
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x843bb6a56619a6a175c9cb6b73a6a2eefd4d9946,out,67686806,0xab305ee56265ba5cc8959929ec35413af43cca5081328c64daeb15c78a66c336,177,0x843bb6a56619a6a175c9cb6b73a6a2eefd4d9946,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,150000000000000000000000,150000,150000,0
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x843bb6a56619a6a175c9cb6b73a6a2eefd4d9946,out,67814597,0xaabcd66f1e26cecd6750dbd28259588e829dad3f52eacd7145884819b47db1d6,241,0x843bb6a56619a6a175c9cb6b73a6a2eefd4d9946,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,150000000000000000000000,150000,150000,0
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x843bb6a56619a6a175c9cb6b73a6a2eefd4d9946,out,68011445,0x3415ec2347f1ea3f9a69d447c2602128934f17887626871eb597531442a3804c,64,0x843bb6a56619a6a175c9cb6b73a6a2eefd4d9946,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,130000000000000000000000,130000,130000,0
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x843bb6a56619a6a175c9cb6b73a6a2eefd4d9946,out,68028818,0xa0593438a6d5cba9aa284bc90a0a1a63fc9c695fe97985784f2719c2fc75fea9,222,0x843bb6a56619a6a175c9cb6b73a6a2eefd4d9946,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,70000000000000000000000,70000,70000,0
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x843bb6a56619a6a175c9cb6b73a6a2eefd4d9946,out,68391560,0xbdfcecd3522e2df2e783cd84adfb9d4e1c56ca5988e85d369a03e4dc6896c3c3,96,0x843bb6a56619a6a175c9cb6b73a6a2eefd4d9946,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,130000000000000000000000,130000,130000,0
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x843bb6a56619a6a175c9cb6b73a6a2eefd4d9946,out,68927215,0x10a06ba7b4ec0f5d2809c9ba9f538089110f817afe5c0dfaf464586ade5873c8,93,0x843bb6a56619a6a175c9cb6b73a6a2eefd4d9946,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,117000000000000000000000,117000,117000,0
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x843bb6a56619a6a175c9cb6b73a6a2eefd4d9946,out,68960541,0xc1caf01bcf4098f1e19eba5810235eba3a869aae3e21280dd5ef5c360f40bfa4,180,0x843bb6a56619a6a175c9cb6b73a6a2eefd4d9946,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,90000000000000000000000,90000,90000,0
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x843bb6a56619a6a175c9cb6b73a6a2eefd4d9946,out,69308118,0x69b0b0f836d5231189b3e1f028d8a2d23ff7485024fd7d8fd35299cc584fe658,93,0x843bb6a56619a6a175c9cb6b73a6a2eefd4d9946,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,70000000000000000000000,70000,70000,0
