chain,token,target_wallet,direction,block_number,tx_hash,log_index,from,to,amount_raw,amount_cell,balance_before_cell,balance_after_cell
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,22763986,0xc0289be85f67d97fd0db3d82d1c0479a333fa293e6515d730348efbdbf90f5fc,165,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x603c3524c018f22fc7edb1e8a64219659c4b1794,5000000000000000000,5,100,95
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,22764056,0x88ff45290ed220f286594a67f6a6d61201f80debe72fe9d7c5b182601a9b30f7,210,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0xdd1ec05e2cd4884badddc2861c3fb93ecae7615f,10000000000000000000,10,95,85
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,22764758,0xa3de954e99ff4a9de28c6f543948b412821a045c1b89b05ade6deb4e45101060,382,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0xdd1ec05e2cd4884badddc2861c3fb93ecae7615f,12000000000000000000,12,85,73
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,22843850,0x1fdf8e10069d95e29955e9547290c4d2c86906906f6723af4ad74cc28a49caa9,205,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x603c3524c018f22fc7edb1e8a64219659c4b1794,13000000000000000000,13,73,60
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,22843883,0x4402c04f4460190590beb5cf42f5ddb1fbf6e7ce7d3b052011c6d58ef6ef0cdf,419,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0xdd1ec05e2cd4884badddc2861c3fb93ecae7615f,19000000000000000000,19,60,41
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,22844020,0xdf472e20606922b07d1e8f263044fcac0d9e5405c25180689090ed8e3f403d98,165,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x603c3524c018f22fc7edb1e8a64219659c4b1794,10000000000000000000,10,41,31
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,in,22847377,0x1eec9a97d9f19e2f1c5cc6c4c96e316eec27f368b248c7602b5ff5a6cf554563,258,0x65def3ea531fd80354ec11c611ae4faa06068f27,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,2000000000000000000000000,2000000,31,2000031
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,22849902,0x6a7136acc806985627c96872f2f94def85cbe41e42da491bb92be8cacec8f7a3,107,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0xb047f3d9e1d6fbfbb4e960db9a1827540638e137,909830000000000000000,909.83,2000031,1999121.17
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,22850045,0x2edd01b4496e2584ef09a0e4db9780c98a05c962ddda1daa84d326c4c5ad9afc,246,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x7a35096fa849e0188ad7f02c507f3d693540cde6,636802000000000000000,636.802,1999121.17,1993484.368
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,22850045,0xf0892d908675d1bbfa08308848e70a2b7ea58a823c75dff3e7df9b3e1db7407e,337,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x17d6b69b4bebb9c0a464f300b7bd6047d548acf4,5000000000000000000000,5000,1999121.17,1993484.368
