recipient,first_block,amount_cell,txs,share_of_total_out_percent
0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,27274847,552542.49066854797,3,11.05062880079494350112997740
0x6fd24951b4c659f1919a15c3301c2e6b51a606a3,27256655,274996.7,1,5.499824003519929601407971841
0x584a0e1002c5354216091d2c4f7961c223894831,22850184,174594.59,2,3.491821963560728785424291514
0x65def3ea531fd80354ec11c611ae4faa06068f27,40749691,113430.76112187157435663,1,2.268569851040410678919021620
0x467274b3e3a73df69e581223ac469648860f04e5,23482839,97557.026,1,1.951101497970040599188016240
0xd504b8251baaa93db421c558d4603fcf41f0681f,24832234,85561.07,18,1.711187176256474870502589948
0xa13e81b67938821e0df2d7057f0d1345a1ed7253,22851887,80816.63307494244412,10,1.616300335492139039619207616
0xee459c9e50f5e2cb58d4d76f0b68f75c66a86650,23879729,69899.53,14,1.397962640747185056298874023
0x71cd50ba682de704fa0010a2da238fddbc958697,22851522,68357.9905496307,2,1.367132468343247135057298854
0xad539ef1257f61fe15e878b9b7d5d1abe2156678,25099378,58114.085311913304283075,105,1.162258461069044704767404652
0xa8d03c7184e27fc36c3039bbb95399f96f24699c,25601305,51114.78,10,1.022275154496910061798764025
0x0e42e4e7866274c2d43b32c77d08ebb2d9bb9438,25602386,50203.57804198881,3,1.004051479810179996400071999
0x0c64bc24ce9b49b68d92af7b8013be895f2bc56c,36796959,44999.3,1,0.8999680006399872002559948801
0x97ee4ed562c7ed22f4ff7dc3fc4a24b5f0b9627e,25088699,44146.3963,4,0.8829102677946441071178576428
0x9cbf959138803220865c0ab934a856871db7f260,34493379,40838.1176,1,0.8167460170796584068318633627
0x3ed5201f38965efdf75f4d371cbfb647b0a9504b,24833412,39851.653775482256782718,5,0.7970171351669417968184236315
0x82912818bca0674ade6b96edce134cdeef7d018d,29693938,37874.41661689468866213,1,0.7574731828742362885168296634
0xc3cf5655ba64fb07cd4d7aa09e82837ed5af1a8e,32705519,35774.4426,1,0.7154745425091498170036599268
0x0dffa6d27a1f3dddd0bc37c7fb6b44b32da61ddd,25297825,34490.719,1,0.6898005839883202335953280934
0xf7247434d02f6484c5d440100aa264cf66a4a718,23476479,30850.093068655467758749,59,0.6169895215826777016209475810
0x8376fc6848653373162b7bc55667c52df11ec5e2,27030853,30400,1,0.6079878402431951360972780544
