chain,token,target_wallet,direction,block_number,tx_hash,log_index,from,to,amount_raw,amount_cell,balance_before_cell,balance_after_cell
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,36831538,0x9c64bede973a316b23cb83b72697a283e949cedb23c38502ef869679c666eaa6,123,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x6d3167e0da8d2b6d0fe7600c03f50612ce094bb7,259773221304315275485,259.773221304315275485,381381.690514040504318922,381121.917292736189043437
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,36834845,0xd5f2730155db5adab53ef723751b77bebb0ae6fd1a6c79a9c5f617bed0a4ad36,127,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x5cb1c2248dcde4c8588b5ad2ff26df57e6464fba,1526000000000000000000,1526,381121.917292736189043437,379595.917292736189043437
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,36834881,0xa466df133522fba4cb902c5bac125a2abdd4ea490c6a85ad4be50d6d179d6569,188,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x8d699ecabcd6a05ec1bfa11137ab3ddd06b798b7,50350000000000000151,50.350000000000000151,379595.917292736189043437,379545.567292736189043286
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,36835929,0x6b6656838b613a75e641c148e4e61314f9231d6601ab97665628ee8c9f709e0d,202,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x8d699ecabcd6a05ec1bfa11137ab3ddd06b798b7,49875000000000000275,49.875000000000000275,379545.567292736189043286,379495.692292736189043011
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,36836377,0xe9b89858fb0dc92732c9d476e57d63c32faaa038c03bc112bc5d3e5b29a6cf96,170,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x426a7919af4ff773c67ea8cf917bd4d8eb021cd3,237500000000000000000,237.5,379495.692292736189043011,379258.192292736189043011
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,36836860,0xf583e62fbbb47145218457c30c52bbb599aadad5ef2ff33b988b4682aa61fe2e,253,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x7edefe7b96c4523b7d446a795cc30373f49b16f8,197315000000000000000,197.315,379258.192292736189043011,379060.877292736189043011
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,36837033,0x384a94eeb0e6c88e53ff95581b7156a0248c7b514ed2ecd0d058f1df3044ed41,237,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x7edefe7b96c4523b7d446a795cc30373f49b16f8,487350000000000000000,487.35,379060.877292736189043011,378573.527292736189043011
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,36837337,0x4f979056dfdcffaeb68fcc998ea741692e9f75abaff2be6a67558f73b57a716e,326,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x8d699ecabcd6a05ec1bfa11137ab3ddd06b798b7,49875000000000000266,49.875000000000000266,378573.527292736189043011,378523.652292736189042745
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,36839095,0xfbcdaa86a7035afc2349afc52dccfdd67f6593daf3816c6bfff3b9e75ae184e7,298,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x602057616682ad0056bd3c4a1ffaaa01371f7563,199041584158415841584,199.041584158415841584,378523.652292736189042745,378324.610708577773201161
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,36839546,0x8cad1b9b4fd447f22553a500dcf642e1541cfddf1fb4546bece6f43dc7bfe2d2,330,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x8f0ffdaea05b1914e2d48909264685524a63c29c,342000000000000000000,342,378324.610708577773201161,377982.610708577773201161
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,36841570,0xe689e9af53db4e5acc985b66fee39ec5e48b428ea4c2bb0b7f3d933ec4f45fc7,203,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0xdba04589f85dbd0f7c02924956cce91b8c942620,17000000000000000000,17,377982.610708577773201161,377965.610708577773201161
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,36841918,0x605710927668736988cb73739bce12c2f099c048cd03ab8d5cd5bf39301d7c11,500,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x4ecafc5ee91b5c40b57c63eb541e7d8358af68ce,2148277000000000000000,2148.277,377965.610708577773201161,375817.333708577773201161
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,36842475,0x54bbbe35d7950cef7c5089fa58dff5e8f619fb1647244f57070755406c321808,213,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x605b219b7d6cee632ced37d6563a2f647ef5a809,68279062423118426216,68.279062423118426216,375817.333708577773201161,375749.054646154654774945
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,36843138,0x29c3ba605ee620f4d096a1f241e8929160a1b5d02017126c93b3a4e1d03b8043,226,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x6a16bce9a1a889785165b5fb3f6d38d7df934271,28895000000000000000,28.895,375749.054646154654774945,375720.159646154654774945
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,36843256,0xc58e8f4e91a5395fca7a0a5a5c3b4cb9161aa925bbd65a59f3c3af04f22e62b6,179,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x003f1cf23268e097d37dc9988e793212b5b6de39,172842404672928375817,172.842404672928375817,375720.159646154654774945,375547.317241481726399128
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,36844122,0xe122373e6d6bf6bc381517ec1be023045b405636a6b05cb62e422c672079597b,136,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x8d699ecabcd6a05ec1bfa11137ab3ddd06b798b7,50350000000000000113,50.350000000000000113,375547.317241481726399128,375496.967241481726399015
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,36844511,0xfb6730c001c8c76b5f8b599d779d9b9678418cfb13a8a12a71b7c5cd6c881e99,325,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0x3d6a90d17667e99b84487a8299e345763d5ff2ad,197600000000000000000,197.6,375496.967241481726399015,375299.367241481726399015
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,out,36844534,0x5775bea957d215e3d1f499dbea4cfb0e4ea315d42c1db26be28d8e74544f4d1a,232,0x8bbf051e8dfaa9c477bbd63fa5013ab3b988e218,0xf66d1731bc269a91f3e403cc28daf319344165ba,774250000000000000000,774.25,375299.367241481726399015,374525.117241481726399015
