recipient,first_block,amount_cell,txs,share_of_total_out_percent
0x584a0e1002c5354216091d2c4f7961c223894831,22850184,174594.59,2,18.58014942593839288337644819
0xa13e81b67938821e0df2d7057f0d1345a1ed7253,22851887,140461.69092,2,14.94776674302207171566054980
0x71cd50ba682de704fa0010a2da238fddbc958697,22851522,122772.6610992614,2,13.06532114565732283333309698
0x3f051cd48466d7e06a37617b4774a76d3f5133ea,22851213,28500.8895763288958,4,3.033030903766037990395807479
0xab79580e2ccb8229df50979d7dcfedab82f28c07,22872221,26434.22588,2,2.813099001575064888570473625
0x0f10cc7686f11ed51085eab8f8cde4f2a3431344,22916035,24522.36377178832,1,2.609640900998394032236225620
0x008196e948a499d0c43867910bfbf9d030a82dee,23008461,24145,2,2.569482295466786778268011292
0x8a3707daca88c3709249a2388e65f814da65761e,22871792,23298,1,2.479345558905992891285488800
0x77127e0e9f33e102b776d787a6eb4ce3a7605ce3,23081914,21187.44,2,2.254742264082204052903159792
0x98562a503f6a4aabd5d7a514f7ca1a8acda232c4,23084372,19863.34,1,2.113833110740826029581367547
0x3de1b88d621eb45bf6d87486fae7084531a28894,22850250,17924,1,1.907450845473045608352695564
0x889d992b47286977f5d6bea13d8b791ef4cfea28,22872386,14160,2,1.506890424676318110593292189
0x8364f4ef3b15fde2d9b88fa3ca0ecc8b10b84f8c,22933251,13286.6,1,1.413944231391551427133392373
0xb2454d7ca559e417314d18c81812fc5cc133a0c2,23079055,12288.232653,1,1.307699161087610816554220217
0x8ecd48e14c8fd64ab8b972e8f87efbb5c9658fd0,22852081,12013.81536,6,1.278495997868169035684454266
0x17d6b69b4bebb9c0a464f300b7bd6047d548acf4,22850045,10100.875,3,1.074923151013587902213207644
0xa774fdbd97d9e9da95a510c7ee28b74a19775982,22864550,10015,4,1.065784435249528663671738790
0x6cf723183ae4ffbd0e8d3e816cac25310d07aedb,23069854,10010,1,1.065252341173018664338902176
0xe89975d195c388c7367d16f93239293b531a3745,22858681,10000.8078679,1,1.064274125364837180171232970
0x9a953ec6a59966c0334c13b482aeb82937ae220e,22945062,9889.4,2,1.052418232047597480430883035
0x6cd6a9ffd889852b5268a6da890e1f1e6d8d95e2,22882458,9655.49,1,1.027525806960306691642120536
0x65823b126d7629ad952b0af49e3ede37958b631d,22911953,9556,1,1.016938199025910724917337582
0xaa3279f1e2f9d53ed621e84137b48882caf7fa0a,22853693,8964.435831,1,0.9539846409858186898133283309
0x1ff2c1855e7d969e9b74199cf58c140f197a52bc,22852061,7573.15110,2,0.8059257681650371216941746039
0xd0571b30b18981f09b1d23f168bcf66bf5b15220,22860321,6127.049,1,0.6520332958773029804514491746
0x214c07e554ff618949e631980674041ff7a83f89,22852167,6016.773222200252,4,0.6402978782473472208116975302
0x08c12361c936233a5676f79b31bfc773163cc59e,22924610,6000.5,1,0.6385661012196501993372210296
0xb6e87dbff2bee42968a9d63e7354763b8b65c015,22900496,5860,1,0.6236142576697192180845121628
0xe3f7d7bc656619d70000a2618881f62a85dc95e9,22850797,5857.256919050688,1,0.6233223422448159498985565734
0x9a628b58181c5d1481c47d2583868373f0ffd704,22850690,5707.907337271867,1,0.6074287366860646732123521527
0xa98a175166e4f9e8487356471c575f57ac10cc93,22882185,4601.654844225001,1,0.4897026569511333487386403224
0x64584d6b44663a934578c12ee8cebeba6b097661,22850483,4063.44,4,0.4324264708507583378043225432
0xc80d9fd2fce7d61d0816b3b214ba1ac718ec0b09,22851907,3990,2,0.4246110730549794676036183498
0xe7ff09608b775be997f1d363a389005d7e700230,22975475,3928.8850828875,1,0.4181072959785872991028703512
0xeca023bb189de0a9f014c7b99dba7f757e65e2d0,22858981,3925.925215,1,0.4177923103445491160832884473
0x110e437918ed1f5f06b28ac4464d47d2fe8dd89d,22851197,3875.923024902090,2,0.4124711365118241451689957132
0xc54d179deccac111d160ff6a46face22056fbeaf,22856686,3309.6177,2,0.3522055947365296037888500939
0x874a8197a4bb22efda7b6f8ce7c4858e4acdcb8b,22852673,3151.779591069316,1,0.3354086501746182075330849497
0xd7090f8781a40b37506d2a0c16bc5edaf3112508,23109887,3129.5955,1,0.3330478454844699234096941782
0xffc3c8bc4bf767a30d02c00ce5c6a290213930f6,22872396,3128.4906,2,0.3329302633354427437571239432
0x0651f99e75e09bd56fbd6e8b8ad59ae31e63cfb0,22852099,3099.356,2,0.3298297937191450984446316176
0x24502914994ee102986abe8ee69942d0ee99b642,22857807,3053.19,1,0.3249168626919129726046845888
0xe36a798222d0e014ebc68d4fd0cb36c432332f33,22872740,3040.056893647115,1,0.3235192530726037827072238582
0x17ba3a6f59d4287ddc5120f5df42611d9c76cf4c,22938932,2968,1,0.3158510438163356039718143514
0xbf35fb99b8c806d16bdac0511811688fc1b68249,22856201,2965,1,0.3155317873704296043721123827
0x3a6a2e513422b02d6ff39a171df3ce1990d55fff,22881566,2960.26885965576,1,0.3150283050199680877438406246
0xc60ae2c1b9fc208b800ffd4c9570fd72793380e6,22861758,2927.511330589236,1,0.3115422875844877780876151753
0x0bf5d495c6e5b7db720707c083c59148a1c1213a,22972926,2797.63846,1,0.2977213705565113416236107094
0x5338894d63300e90cadb445e979542e6fc11c9c2,22873999,2358.375,1,0.2509754735378539353157101318
0x70eddcfa645ddbdeef591306aa9db2a8a4a796c0,22879615,2228.92899233175,2,0.2371999827562251801484759755
0xc1c8f20e2def236db50da5a8d7f590c7adc8ff88,22850480,2151.0097665894768,4,0.2289079110634833750210223579
0x86795030d73cd9d5258ed7498bb6fa078100fe91,22896574,2136,1,0.2273105894850717149878017030
0xb1bc6e7711a86d9eb9d4d6a1c2ee1b4c07bed317,22882395,2095.61193,1,0.2230125389233374732368900063
0xb04d04fe98019a7e04a3424516ee4bd9f54ffb3c,22945235,2068.38971,2,0.2201155825210470664292236976
0xfe885759e95890624be2e4252b7b95520772e282,23020205,2033.38654724,1,0.2163905874083047865462694118
0x73b46525f4d914e4f5d436791a1024b07b50d49a,22872205,2004.018390,2,0.2132652629072211363784612540
0xc47beed5bf3fff6b2a40470237c7f31584e5d420,22996166,1977.10311,1,0.2104009706960995254098391195
0xd62da226f7237d57da955d7e6afbd153a3215d18,22865491,1849.657695,2,0.1968383806161278020852220277
0x88349674d80e8434c52cd202b95957214122f407,22888261,1758.741364,1,0.1871631723795033172544314656
0x7dc1bf1c7daec46d747c196ea630b6de8fe151de,23098631,1646.387103,1,0.1752065650297516304241612950
0xd49124df81137a4ec6c96ca01527a59ae4699ba8,22851134,1604,1,0.1706957797444077859739859231
0x17a61c60c597c9dd31e53773812455606759e332,22976225,1600.18734678,1,0.1702900417055780309102784491
0xd69ddab1d3c869e2567c71e0457663c36e2f183a,22850052,1566.0221393392530,2,0.1666542208051866643671229478
0x44fd8c305cc3bddb6fddea8db4c9f10ea3d5437c,22859180,1508,1,0.1604795734754157987835229252
0x42f037c418503d3c142308107204c554e75b5810,22907627,1499,1,0.1595218041376977999844170191
0x8fd5d90240f751c0c79832028f8a86df0687aa7d,23098444,1498,2,0.1594153853223958001178496962
0x2539f687bff19a855d71c6ad86549b123848e06a,22912255,1490.08135215383,1,0.1585726921998126558363627374
0xb9166f1c9caefa92509c616d0cfd7dfedd9953e5,23054208,1402.626,1,0.1492657972317828648438578425
0x6110307df2c40a4e8d79be63e09779cd8c0dfe9f,22850473,1358.6414199000244,4,0.1445850103259875426417314854
0x0f789e0163295b3f7913cefcc2f8941abe6c195a,22958430,1325.8048,1,0.1410905761377048726943162169
0xb362859edbc127c1dde9e8bf9ce350853b872201,22859892,1311.33,2,0.1395501850699714850257275315
0xc71d239309941ee7aa63bb17ce703613445ce27b,22850347,1300,2,0.1383444598925998265375197631
0x7a35096fa849e0188ad7f02c507f3d693540cde6,22850045,1273.604,2,0.1355354288438882380596087080
0x221f39994eb946fc2468c060bc4f9312cc7f6391,23027071,1226.51,1,0.1305237411560558563434872036
0x1211f6d85ff62c51ba06cca6dfaa2c58d1c4e214,23031066,1147.52,2,0.1221177189353508868833343681
0x872dc382da70d53b20120844e0ce0ef041b5bb66,22962577,1139.04,1,0.1212152873815899280148434700
0x5dab0b9a5f25c3ee8ca4927f0c0105fe09a41c00,22889763,1129.3322,2,0.1201821948064011737101812128
0xb8797bd217a92deba51b6e2c6c629eb6f62a2102,23054181,1072.2646421,2,0.1141091329025048903390582392
0x395428f1030662c47bd00317970b8754984e3373,22958101,1069,1,0.1137617135578378573604681744
0xd5fda34ba1362dea80569f003a24c21b30a4becc,22911161,1065.38397702,1,0.1133769006762014502030038011
0xb76e2ebe8f2eb8499e02f7654201b7617a80bbb4,23035177,1028.942755914,1,0.1094988690979426969014414903
0xb5bfaf910b227631d69627195706766580a4298a,22926655,1024,2,0.1089728668692478633649386442
0x79b6b251ba2ef724f30a6ad432df1aebbb4a3f0c,22851389,1013.9267,1,0.1079008782170662281090460304
0x5f6158ee6b6e6820718517e3d82656428f36d069,22941856,1009.45,1,0.1074244731066037653063840960
0x07d4d0040a9af9457f512c64ffe066ec253ab57d,22851329,1006,1,0.1070573281938118657667268321
0x59a0563f0a89331f93375d5e657c695ec2602ed1,23075304,1006,1,0.1070573281938118657667268321
0x318ffab960e0ed407af4f49b82ff49106ac4e0b0,22929871,1004.99,1,0.1069498451903568459014938359
0x50654980d39b0c0583aeefb1d0248d2e8a4e0d7a,23019397,1004.0812,1,0.1068531317710103884227574529
0xbf22275d4eeb4f40b59d65353eb7a5ff991d8e79,23069545,988,1,0.1051417895183758681685150199
0x021d4fc4c509adee5e81327a19742db0b43b0c50,22885644,972.645,1,0.1035077286094136602173737769
0x87fe928db5f072710cf5b750fbd2e40ebe84649d,22996201,958.682,1,0.1020218026913518360804942473
0x2b1dcc1ca7e9737aac31c3e93b81d25d340b8eaa,22872950,939,1,0.09992726756857787470671619811
0xb047f3d9e1d6fbfbb4e960db9a1827540638e137,22849902,909.83,1,0.09682303072621853859894738927
0xa91585c41554014971742f347e47ea35bb33efc6,23015449,866.61,1,0.09222360952886610436590769376
0x391c5b3dbba3e7738f04ce772cc49b72e03b86e7,22907383,841.74,2,0.08957697359230536768437837337
0x71ef8214d026e052c9040cfb6e2e616ed86ab99f,22850487,746.53278268577128,4,0.07944513431752509773786838592
0x338dc647146da0ee7a73ad7ff363b25f1a3b5590,22858774,708.8,1,0.07542965628605750542291846775
0x89479b8e73d4237b1f75c09f59c27f3d7a071317,22854961,700.5646301179083,2,0.07455325797963153638205872467
0xf9c66ea713193043b461ad05a9d65cb006f08e07,23098521,700.29827214,1,0.07452491247917629884360677613
0xcb3b366ced5ab2170d2ac72a5a97c4747e9186d8,22872708,695.058489715851,1,0.07396730104115812128723697444
0xc374d1a0ca227acaca5c13786da73901b1be1223,22882304,662.1,2,0.07045989761145411165422448857
0x7239a1811588b054f32cc25321133089cb0cc736,22990863,515.5893893894,1,0.05486841200110144836012628668
0xd93ef487e2fe1b04771d14fb4bcb65621f864bbe,22850970,500,1,0.05320940765099993328366144734
0xb0791ab49d96a0e2b9f04dfac65451b2390e176a,22864424,500,2,0.05320940765099993328366144734
0x54d0e4370efdfd02b6a92d905d6465754e1c9332,23014194,500,1,0.05320940765099993328366144734
