chain,token,target_wallet,direction,block_number,tx_hash,log_index,from,to,amount_raw,amount_cell,balance_before_cell,balance_after_cell
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,in,35009339,0xffb159cebfbf30f9589d70b0299c3f7a877e63838d2393b8a40c88c49c08ed8e,1,0x44c19a079b869a3e74942df2cfe0152f834a458d,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,106222772277227722773,106.222772277227722773,21000000,21000106.222772277227722773
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,out,37472090,0x276bc5ae3c419d64993816f1abcc24600b4435e0e8b0c6514ad085c077ba1035,180,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,0x4cb57ffc74460772c84e07b684cf59b730802810,200000000000000000000000,200000,21000106.222772277227722773,20800106.222772277227722773
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,out,37533294,0x25ed5dbf33067c71e42aeba39869dfa85a4424042387aba2d8c2b2746346316e,321,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,0x71f95edf9dd132970036fa3202d313ac2a4b9468,100000000000000000000000,100000,20800106.222772277227722773,20700106.222772277227722773
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,out,38883839,0xc8c7ceec7394fc565ee93c35d4822c33597b836fbacb38460b8b671daed4b100,349,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,190000000000000000000000,190000,20700106.222772277227722773,20510106.222772277227722773
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,out,39176186,0x6a511a706aa7fa0644fd5239ea97cac104d7c070b2d517558fcd4a1e19e4d363,219,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,0x4cb57ffc74460772c84e07b684cf59b730802810,210106000000000000000000,210106,20510106.222772277227722773,20300000.222772277227722773
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,out,39548668,0xbc92895ca4a78c1fabc4e3cb97beb2ab687e8d9a026c48bedcbdb5281eb02119,251,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,300000000000000000000000,300000,20300000.222772277227722773,20000000.222772277227722773
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,out,40401835,0x495bf314821d8fb1f2179d2e8bbd83f1d66c9396cbf52a00cfec5d518034e683,111,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,0x8c85de6323e1808f160cedf67af299d6bbb405bd,150000000000000000000000,150000,20000000.222772277227722773,19850000.222772277227722773
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,out,40750043,0x282eae7d40e21eebfd782940da92d91b1ac8f7c9e395f58a53774250f498da22,155,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,0x35ce1677d3d6aaaacd96510704d3c8617a12ee60,1985000000000000000000000,1985000,19850000.222772277227722773,17865000.222772277227722773
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,out,41011818,0xd813f6b050bd06a7ec7f1ec049d2f7a949e6aac66a0425b8b0dc64f13aa122e0,353,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,0x8c85de6323e1808f160cedf67af299d6bbb405bd,87000000000000000000000,87000,17865000.222772277227722773,17778000.222772277227722773
bsc,0xd98438889ae7364c7e2a3540547fad042fb24642,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,out,42151986,0xde928e3728e15dc879e517f8a4e6e5b45d3800e8753fc3605d2410edc402a878,415,0xc3b8a652e59d59a71b00808c1fb2432857080ab8,0xe0ca82008f52dd94a4314c4869a0294e8c136f1d,2000000000000000000000000,2000000,17778000.222772277227722773,15778000.222772277227722773
