mint_to,missing_cell,share_of_missing,events,first_seen,last_seen,max_single_mint,top_datum_hashes
Rj7J7MiX2bWy8sNyXN6YqRfWnuX8VkcRfBF2uzuAgC5fZ5UiL5thQxX6rNyRMaCBvBWLVN8xjkmgs7VVSvqnNE3BKVXV6xTvYMLE7o7T,3800000.0,23.71714042928516,2,2026-01-16T08:30:15,2026-04-13T06:39:13,2800000.0,"0xB702D5689CBCB6736CF28E83D71EF7EB9B3C1A8BF51F5BC617B69D73478A3EB3, 0xB06508B9ECF34BC4A445E52D2FBB06970123A9DF2051BB19D45176BF1A95F90F"
Rj7J7MiX2bWy8sNyXDGpG4Y6GoyV5bUKPrdoPWEGyRbtR2jsXm1g61Ye9TuKrkMPy5aEu7mzrsdeeir2ASgtHZaUCL1qRpYdLG28pAJX,3000000.0,18.72405823364618,1,2026-02-17T06:42:07,2026-02-17T06:42:07,3000000.0,0x7CCE4607D0DF114BD051B7AD095EE13F8D5ABCDBACF661BD22B8D687AE997550
Rj7J7MiX2bWy8sNyYsiC46AhUx31rMer1scqPcxMuydJQcALkQPHZCFncyCjLao1HcehrhCxgnXyscm39UCp5CeiNWS64W1sfGTLuqrb,2601765.1388145657,16.238533989811486,5,2024-09-02T15:57:33,2025-09-30T12:20:21,2000000.0,"0x9B43A1223F5DF3B2E17C1FD6BCC95A990DB01F73C1B5AEB9AC1136566BD5F7AC, 0x101CDDD08F431D8E17AB5E24BD07B60E5F55826F2FE9C6A83BB5545110867986, 0x101CDDD08F431D8E17AB5E24BD07B60E5F55826F2FE9C6A83BB5545110867986, 0x33D4DB8ED611007169D9F497DE0CC78F998BD318CDB16177A9E419C32A539CE8, 0x8E1560C867F8B6DEAE09846CA171B88BB1A5ED31B918FBF610F762520B401E7D"
Rj7J7MiX2bWy8sNyaV5qTD54BQxajXNPjoFSpdBqerGzEbkAqwpy8F9VRxZFNMdRFFNc4sAYd5nThSMx5TzcPkiguwtV7E2kbz2yus1x,729950.0,4.555875435883343,5,2025-06-16T09:51:55,2025-08-13T13:48:12,199990.0,"0xD73EBD542163F220B80128BF7512F18BBCAA8B88F19289CC2DA7110926EF916F, 0xDEE031AF0BD401E32BD6E51CEF3CCBEB7DF0EFCE85440C9E9931FDCC6B783B12, 0x07D89AF2B4122EFCC4D30A88D1716EE7B0FD8D02A0C06F47C5CA1151671F7F92, 0xDB237104F7AE8CD958EAF4170B24BB9DFD5CC1520A0259D5882FBCB393D59DC9, 0xBE0543B8441B365F4BB8E65B4A4FE4681D8427EF42F01A777C4236B57C79F1F0"
Rj7J7MiX2bWy8sNyZxPTviAst1UiGqPi7oAVMzXtRSF15HdxDZ8EwXEz5eRSDFjq4tf6mrDTej9icrsVv4ktQLKiePYS62XjJ4J6jdk7,726722.7875,4.535733264289226,4,2024-12-28T13:00:59,2025-04-16T03:34:48,269990.0,"0xCA36DD50F335B71381950895B812DE266FA0A6BAB84207CC3F532010C80FD437, 0xE8332073AD69F26120FED88763CBB3851970CFD96CA518137A75DBFD110E0FA0, 0xC74645C5AB19F7E35EE2ACEA682197ADEAE4433D7F84C2AE8EB69646B14DAB77, 0x7F764B8069702D726E1E93A9396B3C9668C9D344FDE7F1E75FA646D572E48FA3"
Rj7J7MiX2bWy8sNyZzSczn6k1pBjU5khFFvux7pFcP2zmotydGb6ZEmy4csMMnyfZiV5BpCPzZoRXhAQryf6WQJVmEka11yWhkShT5QU,499262.736685241,3.116074851861337,93,2024-08-22T13:32:52,2025-07-15T16:52:33,199990.0,"0xEDCC6F2DF1A1609AE95D986387295FDDD48394B2BF07B5E394864F9B469532E3, 0x8B25AD6D37D1BA3A356E51050DF9AE0F6F5359EC18417A130AC3E218CCBD98F4, 0xA593DEBB22C0BE3881ED89E5A220B37DDC02BD6247949F720888DA0AC5F0F11F, 0xED17BFF56C6CDBDD243C7F6490B6440359B5F225C9BA8C3514C181839F477E20, 0x013C84036B43FBC843B214F05C9B5088AB00CB82D0E575614C95874EF99215AB"
Rj7J7MiX2bWy8sNyaCLz77B2nmYYGow2ZvWCs4AxRS8rR9haVCDpkqcKRePEuRQ1kY3QDyCyrZLf6Ajurb7K6DFqYhMpTL3siWk3W6t2,395000.0,2.4653343340967466,4,2025-01-07T16:02:54,2025-01-11T11:12:29,139647.5,"0x34931FC799530307B3BF8AE301D2FA728498E51451426E9DB728DCC262F6BABA, 0x7EAEEED86F50239E81CBB40F367E023EF534848D126A0DF1C25631CAFA914E14, 0x4E1DC5CDAA669724D164DC70716F9C778220E37CA9EEC339117EB58AE84065E3, 0x050EBC735A669298AB64C579CC9872491A85B761C0A98338D7EBBE5FA441C158"
Rj7J7MiX2bWy8sNyWpH97LG7zXHoqMLRtv9ttf9n5AvNqnPV5SrFsWaEQUSxwwuAqFJkTANy3zrG8i4V8BninGBtFoo5qt734HHehMjJ,346815.81074119365,2.1645998122224404,179,2024-08-01T14:40:11,2025-08-13T13:19:51,96356.0,"0xDEF4BE1B418E83639E693387F72A074DA4D5FC61793675539503794876006901, 0x07468B103D0C549C88806CE5D2CC6E876FA3BEDBD8C6D3C100CEDAF1BC6DCA4F, 0x30722AB7D9E970FED4563D8890526EAD77012F5D415646B81C0C65357EF621FB, 0xDFA1242E0E422761EDDDE43A819B66EF9851CD15461802305D3873F665046285, 0x0EF003DE343C4B3C0F6010450ADC549A20C674E2830DAB56AE9DAEC92614F34C"
Rj7J7MiX2bWy8sNyac4kEUqpyLRCdQoYZsnnciAVgAy9cqQYBfpizXfdVUGtiPaeGANBfTARFBKsmiCrMyzDiDx4ac5d458vNAaTVB7Y,290888.40248866496,1.8155371292300235,309,2024-09-20T04:53:48,2025-05-26T08:35:45,88483.22432454297,"0x835012E0776D5F8F548025C9A4B452A4F78D117059A2ABB33F0E4674897AFD4F, 0xE44785FB8C305F351F8438CE5AD86F4E9DB11623BC0C688AFA693E0790FE20B9, 0x78A69D6F5F3720D2153169EA52189EC8A0F0DFC3AB29412B3A11A81E952DDFFD, 0xA8DDCD729E1BB82989A2C428966F3CE4604D8C8D30D4B73605F7C8DF5FD1A7FE, 0xE1D6DC2BEF40EA6E5630D6806FD83959FD5ACA673D7706BDE51D0B9432DAE9B1"
Rj7J7MiX2bWy8sNybLwWpQcvg3a2J5GKvthiKNAgmg21RBGjv3xUyb1WpL57KJviEqak78aC7VLkDD5RvajucmLqrseboYG3MkfFoCny,269942.3,1.6848051149747956,5,2025-03-15T08:33:10,2025-05-16T22:40:26,59988.42,"0x6389807E230530C7EFD09E9EE49BA56BEA414E9AAB9F5C937768FA49C4416502, 0x2E1FF26F48523A32295C33D65F67E1E9A2F42B6A7CD2A2E2D9E04168BC12980E, 0x9B32C27FBCED4BF0CA1F4BC59A80486C880D8281CC8D636F137D2F358209A5AC, 0xE22CF7934123DA6017003FF510828CDF5D53327201F62BAB42F7F6790CE889BA, 0x593D2AD9D68C0DB6CC8E5DEC1A10BA6A9FDE28A05C90D61F4CBEA90F88CF7DF1"
