mint_to,missing_cell,missing_mcell_equivalent,share_of_missing,events,first_seen,last_seen,max_single_mint,top_datum_hashes
Rj7J7MiX2bWy8sNyXN6YqRfWnuX8VkcRfBF2uzuAgC5fZ5UiL5thQxX6rNyRMaCBvBWLVN8xjkmgs7VVSvqnNE3BKVXV6xTvYMLE7o7T,3800000.0,3800.0,24.12428472144471,2,2026-01-16T08:30:15,2026-04-13T06:39:13,2800000.0,"0xB702D5689CBCB6736CF28E83D71EF7EB9B3C1A8BF51F5BC617B69D73478A3EB3, 0xB06508B9ECF34BC4A445E52D2FBB06970123A9DF2051BB19D45176BF1A95F90F"
Rj7J7MiX2bWy8sNyXDGpG4Y6GoyV5bUKPrdoPWEGyRbtR2jsXm1g61Ye9TuKrkMPy5aEu7mzrsdeeir2ASgtHZaUCL1qRpYdLG28pAJX,3000000.0,3000.0,19.045487937982664,1,2026-02-17T06:42:07,2026-02-17T06:42:07,3000000.0,0x7CCE4607D0DF114BD051B7AD095EE13F8D5ABCDBACF661BD22B8D687AE997550
Rj7J7MiX2bWy8sNyYsiC46AhUx31rMer1scqPcxMuydJQcALkQPHZCFncyCjLao1HcehrhCxgnXyscm39UCp5CeiNWS64W1sfGTLuqrb,2401775.1388145657,2401.7751388145653,15.24765981201315,4,2024-09-02T15:57:33,2025-09-30T12:20:21,2000000.0,"0x9B43A1223F5DF3B2E17C1FD6BCC95A990DB01F73C1B5AEB9AC1136566BD5F7AC, 0x101CDDD08F431D8E17AB5E24BD07B60E5F55826F2FE9C6A83BB5545110867986, 0x33D4DB8ED611007169D9F497DE0CC78F998BD318CDB16177A9E419C32A539CE8, 0x8E1560C867F8B6DEAE09846CA171B88BB1A5ED31B918FBF610F762520B401E7D"
Rj7J7MiX2bWy8sNyaV5qTD54BQxajXNPjoFSpdBqerGzEbkAqwpy8F9VRxZFNMdRFFNc4sAYd5nThSMx5TzcPkiguwtV7E2kbz2yus1x,729950.0,729.95,4.634084640110149,5,2025-06-16T09:51:55,2025-08-13T13:48:12,199990.0,"0xDEE031AF0BD401E32BD6E51CEF3CCBEB7DF0EFCE85440C9E9931FDCC6B783B12, 0xBE0543B8441B365F4BB8E65B4A4FE4681D8427EF42F01A777C4236B57C79F1F0, 0xDB237104F7AE8CD958EAF4170B24BB9DFD5CC1520A0259D5882FBCB393D59DC9, 0xD73EBD542163F220B80128BF7512F18BBCAA8B88F19289CC2DA7110926EF916F, 0x07D89AF2B4122EFCC4D30A88D1716EE7B0FD8D02A0C06F47C5CA1151671F7F92"
Rj7J7MiX2bWy8sNyZxPTviAst1UiGqPi7oAVMzXtRSF15HdxDZ8EwXEz5eRSDFjq4tf6mrDTej9icrsVv4ktQLKiePYS62XjJ4J6jdk7,726722.7875,726.7227875000001,4.613596694529463,4,2024-12-28T13:00:59,2025-04-16T03:34:48,269990.0,"0xCA36DD50F335B71381950895B812DE266FA0A6BAB84207CC3F532010C80FD437, 0xC74645C5AB19F7E35EE2ACEA682197ADEAE4433D7F84C2AE8EB69646B14DAB77, 0x7F764B8069702D726E1E93A9396B3C9668C9D344FDE7F1E75FA646D572E48FA3, 0xE8332073AD69F26120FED88763CBB3851970CFD96CA518137A75DBFD110E0FA0"
Rj7J7MiX2bWy8sNyZzSczn6k1pBjU5khFFvux7pFcP2zmotydGb6ZEmy4csMMnyfZiV5BpCPzZoRXhAQryf6WQJVmEka11yWhkShT5QU,498915.4308100502,498.9154308100504,3.167362606522079,89,2024-08-22T13:32:52,2025-07-15T16:52:33,199990.0,"0xC2B8C6DCE23F0E957AD118D6F0D9AFAE9C8089D25C88FC4A20A8FDC4F6291BE9, 0x37BF7C59D893CD5A7A65FB43F6F99BC1E0E0750329CC9AEC02F1F8999C78E880, 0xC99D83B8BEB46305647F573C2F5AB200D3B21AC586BC5BA6029AB5F40258AC3A, 0xA593DEBB22C0BE3881ED89E5A220B37DDC02BD6247949F720888DA0AC5F0F11F, 0x9B1F8A2AADD35654755AA096718A11568AA2FF06CF802298E06CF48362E74212"
Rj7J7MiX2bWy8sNyaCLz77B2nmYYGow2ZvWCs4AxRS8rR9haVCDpkqcKRePEuRQ1kY3QDyCyrZLf6Ajurb7K6DFqYhMpTL3siWk3W6t2,395000.0,395.0,2.507655911834384,4,2025-01-07T16:02:54,2025-01-11T11:12:29,139647.5,"0x7EAEEED86F50239E81CBB40F367E023EF534848D126A0DF1C25631CAFA914E14, 0x4E1DC5CDAA669724D164DC70716F9C778220E37CA9EEC339117EB58AE84065E3, 0x050EBC735A669298AB64C579CC9872491A85B761C0A98338D7EBBE5FA441C158, 0x34931FC799530307B3BF8AE301D2FA728498E51451426E9DB728DCC262F6BABA"
Rj7J7MiX2bWy8sNyWpH97LG7zXHoqMLRtv9ttf9n5AvNqnPV5SrFsWaEQUSxwwuAqFJkTANy3zrG8i4V8BninGBtFoo5qt734HHehMjJ,335883.49399210804,335.88349399210756,2.1323550111313887,175,2024-08-01T14:40:11,2025-08-13T13:19:51,96356.0,"0xB6F339B7C8C9681D0D51A88BE8A3900B92FB85A8741FC4D6212A88EE7D18E32B, 0xF41C711BFD2FC595CB2A34EEEA79B9F6123E7D8D324EE0DA2BA3AF79D24A3389, 0x30722AB7D9E970FED4563D8890526EAD77012F5D415646B81C0C65357EF621FB, 0x9E284EE38AE63111D1140BCC80506C272D98661FC26DAD9B2A67E7421A0E6853, 0x0505CE806AB15381C60C06CCC4C509AF8323B7F0D86843FDD2D7D9812E6D88A0"
Rj7J7MiX2bWy8sNyac4kEUqpyLRCdQoYZsnnciAVgAy9cqQYBfpizXfdVUGtiPaeGANBfTARFBKsmiCrMyzDiDx4ac5d458vNAaTVB7Y,290842.7999049565,290.8427999049564,1.846414345812985,308,2024-09-20T04:53:48,2025-05-26T08:35:45,88483.22432454297,"0xBBE7C8EDEBE8E7F501C3F20172AE49FCF19BF1888455944C6B8862451AF97952, 0x835012E0776D5F8F548025C9A4B452A4F78D117059A2ABB33F0E4674897AFD4F, 0xAA9E13FE55BE1D8E91825035BBC0A0FFA29C61F01AFED4B57A752836A6F6B1E5, 0x3169EED0684CB8DB5CE60DA5F0F61556906DAF2BD996C69B290B316EACD4EF4E, 0x325E3352EF68C349B084D1C7C931E8AD382AF2A59DD878EA2681E7DB64FE19C2"
Rj7J7MiX2bWy8sNybLwWpQcvg3a2J5GKvthiKNAgmg21RBGjv3xUyb1WpL57KJviEqak78aC7VLkDD5RvajucmLqrseboYG3MkfFoCny,269942.3,269.9423,1.7137276062004325,5,2025-03-15T08:33:10,2025-05-16T22:40:26,59988.42,"0x6389807E230530C7EFD09E9EE49BA56BEA414E9AAB9F5C937768FA49C4416502, 0x2E1FF26F48523A32295C33D65F67E1E9A2F42B6A7CD2A2E2D9E04168BC12980E, 0xE22CF7934123DA6017003FF510828CDF5D53327201F62BAB42F7F6790CE889BA, 0x593D2AD9D68C0DB6CC8E5DEC1A10BA6A9FDE28A05C90D61F4CBEA90F88CF7DF1, 0x9B32C27FBCED4BF0CA1F4BC59A80486C880D8281CC8D636F137D2F358209A5AC"
