wallet,current_balance_cell,change_count,event_count,latest_processed_block,events_file,summary_file
0x2b3965bf98941fcf182be5a054b31ce97dff3575,43522,1,1,94055015,auto_trace_oldcell_child_2b39_events.csv,auto_trace_oldcell_child_2b39_summary.json
0xcacdbc3f50b73ce847379865e6dc9fee3026d013,35248,1,1,94055099,auto_trace_oldcell_child_cacd_events.csv,auto_trace_oldcell_child_cacd_summary.json
0x9d50c34e1a1fd8bea6b02aeb33c9dc7b40a4217a,100000,0,0,93989481,auto_trace_oldcell_child_9d50_events.csv,auto_trace_oldcell_child_9d50_summary.json
0x3c479060afe2ddfa2c873bb5c9c00b5458b8adbc,0,2,2,94056738,auto_trace_oldcell_child_3c47_events.csv,auto_trace_oldcell_child_3c47_summary.json
0x838bf83b33d18bc377997b4c0293afb6c99a5b50,0,1,1,94161925,auto_trace_oldcell_child_838b_events.csv,auto_trace_oldcell_child_838b_summary.json
0xaeb5b7ee8231019b3443bf546aa38eaf4937cf51,0,1,1,94162075,auto_trace_oldcell_child_aeb5_events.csv,auto_trace_oldcell_child_aeb5_summary.json
0xe1de032a7e99ed3cc6ca02b70ca760b50cb46337,100000,0,0,93989481,auto_trace_oldcell_child_e1de_events.csv,auto_trace_oldcell_child_e1de_summary.json
0xd52f8fca137f5974d68bf4c79cb8aea1ee3d127e,100000,0,0,93989481,auto_trace_oldcell_child_d52f_events.csv,auto_trace_oldcell_child_d52f_summary.json
0x68d350de0a4e35be14eba5542ec823a3f13168d4,100000,0,0,93989481,auto_trace_oldcell_child_68d3_events.csv,auto_trace_oldcell_child_68d3_summary.json
0x3d1c85c85c54a0f6fd2d6da2d15dc80c86babca7,100000,0,0,93989481,auto_trace_oldcell_child_3d1c_events.csv,auto_trace_oldcell_child_3d1c_summary.json
