address,address_short,first_seen_hop,incoming_cell_all_dataset,outgoing_cell_all_dataset,net_cell_all_dataset,total_volume_cell,incoming_edges,outgoing_edges,suggested_review,classification_hint,manual_label,manual_class,notes
0xe6a2eca14d2b1b0a82dd9a407488004939fb5aad,0xe6a2eca1...39fb5aad,1,5581636.73158914,5572327.12489969,9309.60668944,11153963.856488831,960,1147,high-activity unclassified routing wallet,likely router / exchange / aggregator,,,
0xdba9184305207f843d7fe57a49a9079981ba4298,0xdba91843...81ba4298,1,3529311.30501946,4024091.98172265,-494780.67670319,7553403.28674211,2,1,large unclassified downstream wallet,pass-through wallet,,,
0x7ca898cbbed67df0b4e249b05561d3a23404eed0,0x7ca898cb...3404eed0,1,2939885.31611658,2939895.06599604,-9.74987946,5879780.38211262,2,2,large balanced pass-through wallet,pass-through wallet,,,
0x5f9ecf757137d5ef4330ab72d18163c2f221befd,0x5f9ecf75...f221befd,3,2416317.40932257,2412589.81233969,3727.59698287,4828907.221662261,5,2,large balanced pass-through wallet,pass-through wallet,,,
0x13307b8854a95946b54a904100afd0767a7a577b,0x13307b88...7a7a577b,1,2048026.79469709,2364790.21884885,-316763.42415177,4412817.01354594,8,1,large unclassified downstream wallet,pass-through wallet,,,
0x63756a3c3bf677baab9d9e06457402ed05be8570,0x63756a3c...05be8570,3,2130604.44272452,2130604.44272452,-0.0,4261208.88544904,4,8,large balanced pass-through wallet,pass-through wallet,,,
0x00000000a991c429ee2ec6df19d40fe0c80088b8,0x00000000...c80088b8,1,2061632.00867125,2061631.94688509,0.06178616,4123263.95555634,2,2,large balanced pass-through wallet,pass-through wallet,,,
0xa7ca2c8673bcfa5a26d8ceec2887f2cc2b0db22a,0xa7ca2c86...2b0db22a,1,2016179.37876728,2016179.37876728,0.0,4032358.75753456,144,135,high-activity unclassified routing wallet,likely distributor / router,,,
0x9642b23ed1e01df1092b92641051881a322f5d4e,0x9642b23e...322f5d4e,2,2298297.4155916,1684267.19214286,614030.22344874,3982564.60773446,336,44,large unclassified downstream wallet,manual review,,,
0xe37e799d5077682fa0a244d46e5649f71457bd09,0xe37e799d...1457bd09,1,1965456.22313136,1965456.22313137,-0.0,3930912.4462627303,332,30,large balanced pass-through wallet,pass-through wallet,,,
0x15b7031491548963581ba5979a8792f012b6fc12,0x15b70314...12b6fc12,1,1707637.87756947,2122419.57357998,-414781.69601051,3830057.45114945,1,1,large unclassified downstream wallet,pass-through wallet,,,
0xf226e1dd15c857a74a0af32f266f8e5187c367d9,0xf226e1dd...87c367d9,1,1855083.74601312,1839158.6248394,15925.12117372,3694242.3708525198,328,217,high-activity unclassified routing wallet,likely distributor / router,,,
0xe66b31678d6c16e9ebf358268a790b763c133750,0xe66b3167...3c133750,1,1436147.23948711,1436147.2394871,0.0,2872294.47897421,191,347,high-activity unclassified routing wallet,likely distributor / router,,,
0x08866a21550853e5eef6ef40a8daf871b9843fff,0x08866a21...b9843fff,1,1414943.75745606,1400915.08009529,14028.67736077,2815858.83755135,389,350,high-activity unclassified routing wallet,likely distributor / router,,,
0xa701f9db977c98f9043b20225b4322f94dbd50db,0xa701f9db...4dbd50db,1,1188109.55976461,1155277.44487944,32832.11488517,2343387.00464405,4,1,large unclassified downstream wallet,pass-through wallet,,,
0xa4c8cb43b079172050e7c2c20ac03649160bbdea,0xa4c8cb43...160bbdea,1,1068942.64978226,1188942.64978684,-120000.00000458,2257885.2995691,3,3,large unclassified downstream wallet,pass-through wallet,,,
0xa88800cd213da5ae406ce248380802bd53b47647,0xa88800cd...53b47647,2,1104295.36860136,1104295.36860136,0.0,2208590.73720272,17,105,high-activity unclassified routing wallet,likely distributor / router,,,
0x62d63efdfdc7804666725f4cc8cb45c1a41a0809,0x62d63efd...a41a0809,1,1100612.70391199,1100612.70391199,0.0,2201225.40782398,8,3,large balanced pass-through wallet,pass-through wallet,,,
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x22f9dcf4...5c178c18,1,1088840.32729209,1088840.32729209,-0.0,2177680.65458418,153,183,high-activity unclassified routing wallet,likely distributor / router,,,
0x4400b633e90947c59903759e2121abcd83ddfa22,0x4400b633...83ddfa22,1,1055042.81990135,1055042.81990135,0.0,2110085.6398027,6,3,large balanced pass-through wallet,pass-through wallet,,,
0x4e4be94266681284c2bb51e89a8074539d19e8d3,0x4e4be942...9d19e8d3,1,838227.54924392,838227.54924393,-0.0,1676455.09848785,3,1,large balanced pass-through wallet,balanced pass-through,,,
0x722ba4621a225e7870f6d87787a10a2c156469a7,0x722ba462...156469a7,1,841783.0984522,830292.45568338,11490.64276882,1672075.55413558,200,157,high-activity unclassified routing wallet,high-activity routing wallet,,,
0xb1b2d032aa2f52347fbcfd08e5c3cc55216e8404,0xb1b2d032...216e8404,3,799169.32,797807.83649049,1361.48350951,1596977.1564904898,3,7,large balanced pass-through wallet,balanced pass-through,,,
0xdd753bae6a83cc91b9b2a21428ddf3ef223b45f9,0xdd753bae...223b45f9,1,796631.85370316,787937.92752098,8693.92618219,1584569.78122414,184,164,high-activity unclassified routing wallet,high-activity routing wallet,,,
0x007933790a4f00000099e9001629d9fe7775b800,0x00793379...7775b800,1,714498.26439,714498.26305,0.00134,1428996.5274399999,1,1,large balanced pass-through wallet,balanced pass-through,,,
0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1...f36df387,1,646964.86218535,642890.79786315,4074.0643222,1289855.6600485002,7,6,large balanced pass-through wallet,balanced pass-through,,,
0xb0045844a5e5ec5ff2e2557512ff59658b4887da,0xb0045844...8b4887da,1,634598.85109354,634598.85109354,-0.0,1269197.70218708,4,1,large balanced pass-through wallet,balanced pass-through,,,
0xad539ef1257f61fe15e878b9b7d5d1abe2156678,0xad539ef1...e2156678,1,625571.21799123,627071.3739673,-1500.15597607,1252642.59195853,3,3,large balanced pass-through wallet,balanced pass-through,,,
0x242510fe96a4fa2d4ac7de68cd41944cd71d4099,0x242510fe...d71d4099,1,625470.28625508,625470.28625508,0.0,1250940.57251016,1,1,large balanced pass-through wallet,balanced pass-through,,,
0xd0be1fded5d964619b92b3672c08c43305529be0,0xd0be1fde...05529be0,1,612944.15342867,605304.40032872,7639.75309994,1218248.55375739,8,1,large balanced pass-through wallet,balanced pass-through,,,
0x5cf78da3a7c0f96eb6723b0dad4ab1aa5b0da78e,0x5cf78da3...5b0da78e,1,606049.85322044,605331.10816882,718.74505162,1211380.96138926,8,3,large balanced pass-through wallet,balanced pass-through,,,
0x479cd4c24c567cd18520f0d087acfa5f89fe6c89,0x479cd4c2...89fe6c89,1,598239.63887925,598239.63887925,0.0,1196479.2777585,2,1,large balanced pass-through wallet,balanced pass-through,,,
0x0dac84a18e5063213cfc4400de2aa0ba6d1ebf73,0x0dac84a1...6d1ebf73,1,599946.13911605,574991.71903151,24954.42008455,1174937.85814756,10,21,large unclassified downstream wallet,balanced pass-through,,,
0xa7003527af20001c000037a90051b19ce31eed36,0xa7003527...e31eed36,1,570151.04711348,570151.04711238,1.1e-06,1140302.0942258602,1,1,large balanced pass-through wallet,balanced pass-through,,,
0xd1742b3c4fbb096990c8950fa635aec75b30781a,0xd1742b3c...5b30781a,1,565679.9025795,565679.9025795,-0.0,1131359.805159,21,11,large balanced pass-through wallet,balanced pass-through,,,
0x3b82ff2ea45595c8d0c79a2e5749b7347dd4970a,0x3b82ff2e...7dd4970a,1,550235.13120063,550235.13120063,0.0,1100470.26240126,6,2,large balanced pass-through wallet,balanced pass-through,,,
0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0,0x7122db0e...3bfbd0e0,2,528226.42329261,528226.42329261,0.0,1056452.84658522,25,12,large balanced pass-through wallet,balanced pass-through,,,
0xd4315668aa1d88b4c581ec6fa902e131286dd0ab,0xd4315668...286dd0ab,1,515924.28700555,515924.28700555,0.0,1031848.5740111,1,1,large balanced pass-through wallet,balanced pass-through,,,
0x324f6c3b16de2806ec7a3ed2f44fc21b63fa4355,0x324f6c3b...63fa4355,3,511908.94653831,511908.94653831,0.0,1023817.89307662,3,5,large balanced pass-through wallet,balanced pass-through,,,
0xc9a667f951bab05d3597c1dc6cd8ce4079f378bb,0xc9a667f9...79f378bb,1,502190.80175621,502190.80175621,0.0,1004381.60351242,2,2,large balanced pass-through wallet,balanced pass-through,,,
0xfd0000000100069ad1670066004306009b487ad7,0xfd000000...9b487ad7,1,497380.78846547,497380.78846547,0.0,994761.57693094,2,2,large balanced pass-through wallet,balanced pass-through,,,
0xf4842dded96eb770bae8470ac84c24d807f88eab,0xf4842dde...07f88eab,1,482148.92936513,479478.39633614,2670.53302899,961627.32570127,46,30,large balanced pass-through wallet,balanced pass-through,,,
0x848f0f7c377644aa928cd89b7fec7c88ada7d90d,0x848f0f7c...ada7d90d,1,472296.91873469,472296.91873469,0.0,944593.83746938,1,1,large balanced pass-through wallet,balanced pass-through,,,
0x426b47ef7d046f6601fca36a62932f520b21c589,0x426b47ef...0b21c589,2,467452.0,467452.0,0.0,934904.0,2,6,large balanced pass-through wallet,balanced pass-through,,,
0x9ca2d7b2b114dc8cee94d6c1c801e368a5ac255c,0x9ca2d7b2...a5ac255c,1,459313.54698492,459313.54698492,0.0,918627.09396984,3,5,large balanced pass-through wallet,balanced pass-through,,,
0x4cb57ffc74460772c84e07b684cf59b730802810,0x4cb57ffc...30802810,1,441725.30788911,463512.39638904,-21787.08849993,905237.70427815,3,15,large unclassified downstream wallet,balanced pass-through,,,
0x60a531d4055fb1a8ed226d311275704da9596cab,0x60a531d4...a9596cab,1,443056.79187894,460151.53211747,-17094.74023853,903208.32399641,1,1,large unclassified downstream wallet,balanced pass-through,,,
0xd1c02ed89925c3c97e5e0652df6f5481a30d8707,0xd1c02ed8...a30d8707,4,426369.25171411,426369.25171411,0.0,852738.50342822,2,2,large balanced pass-through wallet,balanced pass-through,,,
0xaa488f379d38e8a347c53fc0a47013bf627c46ba,0xaa488f37...627c46ba,2,420542.31963889,420542.31963889,0.0,841084.63927778,5,9,large balanced pass-through wallet,balanced pass-through,,,
0xa296d6c3272c3a06bf02249df336176ed733831e,0xa296d6c3...d733831e,1,420000.00009442,420000.00009442,0.0,840000.00018884,7,7,large balanced pass-through wallet,balanced pass-through,,,
0x72831eeae92b72a31a5dd60b05591914cc71158e,0x72831eea...cc71158e,2,417831.13060174,419550.13060174,-1719.0,837381.26120348,3,1,large balanced pass-through wallet,balanced pass-through,,,
0xeb27941e02b0b70761fb56e7a2d7eb3f01347ae0,0xeb27941e...01347ae0,1,417824.53733071,417824.53733071,0.0,835649.07466142,3,2,large balanced pass-through wallet,balanced pass-through,,,
0xe3c29272e81209697acaa3a812acbed73dedc95c,0xe3c29272...3dedc95c,1,415377.90110597,415377.90110597,-0.0,830755.80221194,2,2,large balanced pass-through wallet,balanced pass-through,,,
0xda5dd51a8869aa961b13a3fcae5ef5e2cd565bef,0xda5dd51a...cd565bef,1,409828.67137913,409828.60532896,0.06605017,819657.27670809,4,2,large balanced pass-through wallet,balanced pass-through,,,
0xd073e319f26e598b20cd512f9926730750dcc91c,0xd073e319...50dcc91c,1,400429.8671758,400429.8671758,0.0,800859.7343516,4,1,large balanced pass-through wallet,balanced pass-through,,,
0xe05a5afad2b701891d602df46068e11e40b68bfe,0xe05a5afa...40b68bfe,2,400429.8671758,400429.8671758,0.0,800859.7343516,1,4,large balanced pass-through wallet,balanced pass-through,,,
