wallet,missing_cell,mint_in_events,incoming_events,outgoing_events,mention_events,cell_outgoing_amount_guess,cell_outgoing_vs_missing_percent,all_outgoing_amount_guess,first_seen,last_seen,top_outgoing_destinations,datum_type_counts
Rj7J7MiX2bWy8sNyXN6YqRfWnuX8VkcRfBF2uzuAgC5fZ5UiL5thQxX6rNyRMaCBvBWLVN8xjkmgs7VVSvqnNE3BKVXV6xTvYMLE7o7T,3800000.0,5,0,0,0,0.0,0.0,0.0,2025-11-06T08:39:18,2026-04-13T06:39:13,,DATUM_TOKEN_EMISSION:5
Rj7J7MiX2bWy8sNyXDGpG4Y6GoyV5bUKPrdoPWEGyRbtR2jsXm1g61Ye9TuKrkMPy5aEu7mzrsdeeir2ASgtHZaUCL1qRpYdLG28pAJX,3000000.0,1,0,0,0,0.0,0.0,0.0,2026-02-17T06:42:07,2026-02-17T06:42:07,,DATUM_TOKEN_EMISSION:1
Rj7J7MiX2bWy8sNyYsiC46AhUx31rMer1scqPcxMuydJQcALkQPHZCFncyCjLao1HcehrhCxgnXyscm39UCp5CeiNWS64W1sfGTLuqrb,2601765.1388145657,13,0,0,5,0.0,0.0,0.0,2024-09-02T15:57:33,2025-10-15T17:03:45,,DATUM_TOKEN_EMISSION:18
Rj7J7MiX2bWy8sNyaV5qTD54BQxajXNPjoFSpdBqerGzEbkAqwpy8F9VRxZFNMdRFFNc4sAYd5nThSMx5TzcPkiguwtV7E2kbz2yus1x,729950.0,5,0,0,5,0.0,0.0,0.0,2025-06-16T09:51:55,2025-08-13T13:50:22,,DATUM_TOKEN_EMISSION:10
Rj7J7MiX2bWy8sNyZxPTviAst1UiGqPi7oAVMzXtRSF15HdxDZ8EwXEz5eRSDFjq4tf6mrDTej9icrsVv4ktQLKiePYS62XjJ4J6jdk7,726722.7875,4,0,0,4,0.0,0.0,0.0,2024-12-28T12:59:21,2025-04-16T03:34:48,,DATUM_TOKEN_EMISSION:8
Rj7J7MiX2bWy8sNyZzSczn6k1pBjU5khFFvux7pFcP2zmotydGb6ZEmy4csMMnyfZiV5BpCPzZoRXhAQryf6WQJVmEka11yWhkShT5QU,499262.736685241,100,0,0,24,0.0,0.0,0.0,2024-08-22T13:32:52,2025-07-15T16:54:33,,DATUM_TOKEN_EMISSION:124
Rj7J7MiX2bWy8sNyaCLz77B2nmYYGow2ZvWCs4AxRS8rR9haVCDpkqcKRePEuRQ1kY3QDyCyrZLf6Ajurb7K6DFqYhMpTL3siWk3W6t2,395000.0,4,0,0,4,0.0,0.0,0.0,2025-01-07T16:02:54,2025-01-11T11:12:29,,DATUM_TOKEN_EMISSION:8
Rj7J7MiX2bWy8sNyWpH97LG7zXHoqMLRtv9ttf9n5AvNqnPV5SrFsWaEQUSxwwuAqFJkTANy3zrG8i4V8BninGBtFoo5qt734HHehMjJ,346815.81074119365,246,0,0,19,0.0,0.0,0.0,2024-07-16T06:43:31,2025-08-13T13:21:56,,DATUM_TOKEN_EMISSION:265
Rj7J7MiX2bWy8sNyac4kEUqpyLRCdQoYZsnnciAVgAy9cqQYBfpizXfdVUGtiPaeGANBfTARFBKsmiCrMyzDiDx4ac5d458vNAaTVB7Y,290888.40248866496,310,0,0,8,0.0,0.0,0.0,2024-09-20T04:53:48,2025-05-26T08:35:45,,DATUM_TOKEN_EMISSION:318
Rj7J7MiX2bWy8sNybLwWpQcvg3a2J5GKvthiKNAgmg21RBGjv3xUyb1WpL57KJviEqak78aC7VLkDD5RvajucmLqrseboYG3MkfFoCny,269942.3,5,0,0,5,0.0,0.0,0.0,2025-03-15T08:33:10,2025-05-16T22:40:26,,DATUM_TOKEN_EMISSION:10
Rj7J7MiX2bWy8sNyZWoTEUYocc3U1QGaT4DhzjHHHbfAcvgYKxEaB7SXkc9h7KFs9KdsHsRrKuDKFqgdvDCMvZrgbYtiAn5m46LG1KDG,176663.5272261348,7,0,0,0,0.0,0.0,0.0,2024-09-23T15:46:29,2024-12-29T21:29:24,,DATUM_TOKEN_EMISSION:7
Rj7J7MiX2bWy8sNyZK2CY4zBS1CK6BvS7S6KLC4bLJcAEn19eiMLCbMBuHQvvNG14ew1sW38qEzdNpb6z6TA97Ski3QesJt6Hm4Vs6gt,117614.64090846044,11,0,0,8,0.0,0.0,0.0,2025-01-04T01:44:33,2025-02-08T11:09:43,,DATUM_TOKEN_EMISSION:19
Rj7J7MiX2bWy8sNyYDiAhH8se8ot8fJNQQeXMW7K3163D3bg7N5c4BHuzymaUyhbUkzfRgt5L2CddqpHUR2bjpqyfUiP78EVihrqov6u,112655.13158168922,13,0,0,8,0.0,0.0,0.0,2024-12-18T11:31:27,2025-04-26T12:18:50,,DATUM_TOKEN_EMISSION:21
